Date,Price,Open,High,Low,Vol.,Change %
7/7/2022,5.04,5.05,5.09,5.04,15.96M,-0.20%
7/6/2022,5.05,5,5.09,5,11.46M,0.99%
7/5/2022,5,4.99,5.01,4.98,9.45M,0.40%
7/4/2022,4.98,4.93,5,4.92,2.43M,0.00%
7/1/2022,4.98,4.92,5.01,4.92,6.21M,1.41%
6/30/2022,4.91,4.94,4.97,4.91,10.36M,0.20%
6/29/2022,4.9,4.95,4.95,4.89,6.92M,-1.00%
6/28/2022,4.95,4.88,4.97,4.85,7.48M,1.63%
6/27/2022,4.87,4.86,4.89,4.82,3.27M,0.41%
6/24/2022,4.85,4.86,4.88,4.82,3.67M,0.00%
6/23/2022,4.85,4.85,4.9,4.8,5.69M,0.00%
6/22/2022,4.85,4.91,4.92,4.84,9.70M,-1.21%
6/21/2022,4.91,4.85,4.91,4.85,9.37M,1.22%
6/20/2022,4.85,4.88,4.9,4.82,8.53M,-0.41%
6/17/2022,4.87,4.88,4.92,4.87,22.40M,-1.99%
6/16/2022,4.97,4.95,4.99,4.95,6.98M,1.21%
6/15/2022,4.91,4.95,4.97,4.85,9.37M,-0.60%
6/14/2022,4.94,4.86,4.96,4.78,10.91M,1.22%
6/13/2022,4.88,4.95,4.96,4.86,6.99M,-2.18%
6/10/2022,4.99,5,5.02,4.96,5.28M,-0.59%
6/9/2022,5.02,5,5.04,4.99,9.59M,0.00%
6/8/2022,5.02,5.01,5.05,5,6.99M,0.20%
6/7/2022,5.01,5.03,5.07,4.97,10.17M,-0.78%
6/3/2022,5.05,5.12,5.13,5.04,6.44M,-1.54%
6/2/2022,5.13,5.15,5.16,5.09,9.60M,-0.38%
6/1/2022,5.15,5.09,5.22,5.05,19.64M,0.97%
5/31/2022,5.1,5,5.1,4.96,35.58M,1.98%
5/30/2022,5,5.03,5.03,4.98,7.46M,0.00%
5/27/2022,5,4.97,5,4.93,5.61M,0.80%
5/26/2022,4.96,4.91,4.98,4.89,6.43M,1.21%
5/25/2022,4.9,4.9,4.93,4.89,8.07M,0.00%
5/24/2022,4.9,4.97,4.99,4.9,6.64M,-1.20%
5/23/2022,4.96,4.98,5.03,4.94,8.73M,-0.20%
5/20/2022,4.97,4.99,5.02,4.97,9.92M,-0.40%
5/19/2022,4.99,5.02,5.04,4.99,9.83M,-0.59%
5/18/2022,5.02,5.01,5.05,5.01,10.36M,0.20%
5/17/2022,5.01,5.05,5.05,5,14.03M,0.40%
5/13/2022,4.99,5.01,5.03,4.99,7.93M,-0.20%
5/12/2022,5,5.04,5.07,5,10.65M,-0.98%
5/11/2022,5.05,5.02,5.07,5.02,12.69M,0.39%
5/10/2022,5.03,5.04,5.08,5.01,10.78M,-0.39%
5/9/2022,5.05,5.05,5.07,5.01,9.70M,-0.39%
5/6/2022,5.07,5.07,5.1,5.02,14.26M,0.20%
5/5/2022,5.06,5.34,5.34,5.01,16.92M,-1.73%
4/29/2022,5.15,5.16,5.19,5.12,13.64M,0.19%
4/28/2022,5.14,5.13,5.17,5.1,18.67M,0.78%
4/27/2022,5.1,5.1,5.14,5.1,7.25M,-0.77%
4/26/2022,5.14,5.1,5.16,5.1,7.17M,0.58%
4/25/2022,5.11,5.09,5.12,5.08,9.14M,-0.19%
4/22/2022,5.12,5.14,5.17,5.08,14.70M,0.00%
4/21/2022,5.12,5.06,5.14,5.06,18.62M,1.57%
4/20/2022,5.04,4.99,5.06,4.97,32.38M,1.19%
4/18/2022,4.98,5.05,5.05,4.97,13.32M,-1.18%
4/15/2022,5.04,5.08,5.08,5.02,14.34M,-0.97%
4/14/2022,5.09,5.22,5.24,5.07,16.42M,-2.65%
4/13/2022,5.22,5.26,5.34,5.21,17.58M,-0.94%
4/12/2022,5.27,5.25,5.29,5.25,12.08M,0.00%
4/11/2022,5.27,5.26,5.28,5.24,9.07M,-0.37%
4/8/2022,5.29,5.27,5.31,5.22,6.40M,0.00%
4/7/2022,5.29,5.25,5.29,5.21,8.11M,0.75%
4/6/2022,5.25,5.2,5.3,5.2,7.37M,0.76%
4/5/2022,5.21,5.21,5.24,5.21,5.78M,-0.57%
4/4/2022,5.24,5.25,5.29,5.22,2.79M,-0.56%
4/1/2022,5.27,5.27,5.29,5.23,4.56M,0.00%
3/31/2022,5.27,5.27,5.31,5.22,12.68M,0.00%
3/30/2022,5.27,5.26,5.31,5.22,4.17M,0.19%
3/29/2022,5.26,5.27,5.32,5.21,5.55M,-0.19%
3/28/2022,5.27,5.31,5.31,5.25,8.54M,-0.74%
3/25/2022,5.31,5.21,5.31,5.21,7.01M,-1.59%
3/24/2022,5.4,5.37,5.42,5.35,7.81M,0.56%
3/23/2022,5.37,5.29,5.39,5.29,6.01M,1.32%
3/22/2022,5.3,5.35,5.37,5.27,8.13M,-0.93%
3/21/2022,5.35,5.36,5.38,5.33,10.97M,-0.19%
3/18/2022,5.36,5.47,5.48,5.33,43.94M,-2.19%
3/17/2022,5.48,5.35,5.52,5.33,27.97M,3.40%
3/16/2022,5.3,5.12,5.3,5.11,17.71M,4.13%
3/15/2022,5.09,5.08,5.12,5.03,10.81M,0.39%
3/14/2022,5.07,5.07,5.09,5.03,5.89M,0.40%
3/11/2022,5.05,5.05,5.08,4.96,5.69M,0.40%
3/10/2022,5.03,4.99,5.06,4.95,14.66M,2.86%
3/9/2022,4.89,4.78,4.92,4.78,16.32M,2.95%
3/8/2022,4.75,4.85,4.85,4.72,23.38M,-2.46%
3/7/2022,4.87,5.07,5.07,4.8,45.95M,-3.94%
3/4/2022,5.07,5.1,5.12,5.05,13.35M,-0.59%
3/3/2022,5.1,5.06,5.15,5.03,29.07M,1.39%
3/2/2022,5.03,5.3,5.34,5,66.92M,-4.91%
3/1/2022,5.29,5.71,5.71,5.27,71.69M,-7.36%
2/28/2022,5.71,5.66,5.75,5.66,35.88M,0.71%
2/25/2022,5.67,5.5,5.68,5.49,16.72M,3.47%
2/24/2022,5.48,5.55,5.56,5.44,21.26M,-1.26%
2/23/2022,5.55,5.49,5.58,5.49,12.47M,0.91%
2/22/2022,5.5,5.58,5.6,5.49,16.85M,-1.26%
2/21/2022,5.57,5.6,5.6,5.53,8.26M,-0.54%
2/18/2022,5.6,5.61,5.63,5.57,9.38M,-0.53%
2/17/2022,5.63,5.69,5.69,5.61,9.74M,-0.35%
2/16/2022,5.65,5.67,5.69,5.59,17.08M,0.00%
2/15/2022,5.65,5.61,5.68,5.59,15.21M,0.71%
2/14/2022,5.61,5.53,5.64,5.52,12.70M,1.08%
2/11/2022,5.55,5.54,5.58,5.48,12.71M,0.18%
2/10/2022,5.54,5.38,5.55,5.36,20.95M,2.59%
2/9/2022,5.4,5.25,5.5,5.22,17.34M,3.05%
2/8/2022,5.24,5.26,5.27,5.24,6.31M,-0.38%
2/7/2022,5.26,5.23,5.29,5.23,10.00M,0.00%
2/4/2022,5.26,5.29,5.29,5.23,6.86M,-0.19%
2/3/2022,5.27,5.18,5.28,5.18,7.22M,1.35%
1/31/2022,5.2,5.27,5.3,5.2,5.57M,-1.52%
1/28/2022,5.28,5.26,5.31,5.25,8.84M,0.57%
1/27/2022,5.25,5.24,5.29,5.22,7.83M,-0.19%
1/26/2022,5.26,5.25,5.3,5.25,10.18M,0.19%
1/25/2022,5.25,5.23,5.27,5.2,16.94M,0.00%
1/24/2022,5.25,5.25,5.3,5.22,12.09M,-0.94%
1/21/2022,5.3,5.24,5.32,5.23,4.71M,0.95%
1/20/2022,5.25,5.31,5.31,5.19,19.18M,-1.50%
1/19/2022,5.33,5.5,5.5,5.28,19.22M,-3.27%
1/17/2022,5.51,5.54,5.56,5.5,6.48M,-0.54%
1/14/2022,5.54,5.57,5.59,5.52,6.10M,-0.89%
1/13/2022,5.59,5.54,5.59,5.52,15.46M,0.54%
1/12/2022,5.56,5.62,5.65,5.54,7.66M,-1.07%
1/11/2022,5.62,5.65,5.66,5.58,21.99M,-0.88%
1/10/2022,5.67,5.45,5.67,5.45,20.49M,3.85%
1/7/2022,5.46,5.43,5.47,5.43,9.17M,0.55%
1/6/2022,5.43,5.47,5.49,5.39,7.60M,-0.73%
1/5/2022,5.47,5.42,5.48,5.42,5.98M,0.92%
1/4/2022,5.42,5.46,5.49,5.39,5.02M,-1.28%
1/3/2022,5.49,5.4,5.5,5.4,2.74M,0.73%
12/31/2021,5.45,5.4,5.45,5.37,6.35M,0.74%
12/30/2021,5.41,5.44,5.45,5.37,5.01M,-0.37%
12/29/2021,5.43,5.4,5.43,5.37,4.18M,0.18%
12/28/2021,5.42,5.39,5.44,5.38,6.39M,0.56%
12/27/2021,5.39,5.36,5.4,5.35,3.84M,0.56%
12/24/2021,5.36,5.35,5.36,5.34,1.08M,0.00%
12/23/2021,5.36,5.35,5.38,5.33,5.08M,-0.37%
12/22/2021,5.38,5.33,5.38,5.3,7.37M,0.94%
12/21/2021,5.33,5.29,5.34,5.26,7.18M,0.76%
12/20/2021,5.29,5.26,5.29,5.24,5.67M,-0.56%
12/17/2021,5.32,5.22,5.32,5.19,21.91M,1.72%
12/16/2021,5.23,5.17,5.27,5.17,8.80M,1.36%
12/15/2021,5.16,5.13,5.17,5.11,6.06M,0.39%
12/14/2021,5.14,5.23,5.26,5.13,9.82M,-1.91%
12/13/2021,5.24,5.18,5.32,5.18,9.92M,1.16%
12/10/2021,5.18,5.22,5.25,5.16,7.20M,-1.15%
12/9/2021,5.24,5.28,5.28,5.1,6.62M,-0.76%
12/8/2021,5.28,5.3,5.31,5.25,8.51M,-0.38%
12/7/2021,5.3,5.22,5.3,5.22,12.13M,1.15%
12/6/2021,5.24,5.18,5.29,5.15,13.63M,1.55%
12/2/2021,5.16,5.01,5.16,5.01,18.71M,2.58%
12/1/2021,5.03,5.05,5.09,4.98,21.59M,-2.90%
11/30/2021,5.18,5.08,5.18,5.08,31.05M,1.37%
11/29/2021,5.11,5,5.11,4.95,21.72M,0.20%
11/26/2021,5.1,5.17,5.17,5.09,14.57M,-1.35%
11/25/2021,5.17,5.19,5.2,5.17,7.44M,-0.39%
11/24/2021,5.19,5.2,5.21,5.18,6.85M,0.00%
11/23/2021,5.19,5.18,5.22,5.16,13.92M,0.58%
11/22/2021,5.16,5.12,5.2,5.08,12.55M,1.18%
11/19/2021,5.1,5.09,5.14,5.05,5.24M,0.39%
11/18/2021,5.08,5.1,5.1,5.07,7.47M,0.20%
11/17/2021,5.07,5.02,5.07,5.01,8.40M,1.00%
11/16/2021,5.02,5.01,5.03,5,5.86M,0.20%
11/15/2021,5.01,5.04,5.07,4.99,9.27M,-0.60%
11/12/2021,5.04,5.03,5.07,5.01,3.72M,0.60%
11/11/2021,5.01,4.99,5.04,4.99,10.25M,0.20%
11/10/2021,5,5.02,5.02,4.97,22.06M,-0.40%
11/9/2021,5.02,5.07,5.08,4.99,17.74M,-0.99%
11/8/2021,5.07,5.1,5.13,5.05,8.61M,0.00%
11/5/2021,5.07,5.05,5.1,5.02,7.94M,0.00%
11/3/2021,5.07,5.1,5.12,5.06,8.52M,-0.39%
11/2/2021,5.09,5.04,5.1,5.04,18.86M,0.99%
11/1/2021,5.04,5.18,5.18,4.97,37.68M,-3.45%
10/29/2021,5.22,5.26,5.28,5.17,18.43M,-0.57%
10/28/2021,5.25,5.26,5.33,5.21,10.40M,-0.57%
10/27/2021,5.28,5.27,5.37,5.26,19.43M,0.57%
10/26/2021,5.25,5.24,5.27,5.23,10.07M,0.19%
10/25/2021,5.24,5.24,5.28,5.21,4.07M,0.19%
10/22/2021,5.23,5.33,5.33,5.2,11.10M,-1.88%
10/21/2021,5.33,5.4,5.4,5.3,14.95M,-1.48%
10/20/2021,5.41,5.36,5.41,5.29,16.38M,2.08%
10/18/2021,5.3,5.17,5.32,5.14,19.20M,2.91%
10/15/2021,5.15,5.13,5.16,5.13,6.65M,0.59%
10/14/2021,5.12,5.19,5.19,5.06,13.70M,-1.54%
10/13/2021,5.2,5.11,5.2,5.08,14.89M,1.76%
10/12/2021,5.11,5,5.14,4.96,21.16M,2.20%
10/11/2021,5,4.91,5.03,4.91,23.93M,2.04%
10/8/2021,4.9,4.87,4.93,4.86,7.72M,0.82%
10/7/2021,4.86,4.82,4.88,4.79,8.19M,0.83%
10/6/2021,4.82,4.72,4.82,4.72,14.84M,2.12%
10/5/2021,4.72,4.69,4.73,4.65,5.87M,0.43%
10/4/2021,4.7,4.72,4.74,4.66,9.68M,0.00%
10/1/2021,4.7,4.79,4.79,4.66,12.34M,-1.67%
9/30/2021,4.78,4.8,4.8,4.71,13.22M,-0.62%
9/29/2021,4.81,4.77,4.81,4.71,9.19M,1.48%
9/28/2021,4.74,4.72,4.76,4.65,8.51M,-1.46%
9/27/2021,4.81,4.83,4.84,4.8,9.14M,0.00%
9/24/2021,4.81,4.87,4.87,4.8,6.35M,-1.23%
9/23/2021,4.87,4.82,4.87,4.8,9.01M,1.46%
9/22/2021,4.8,4.78,4.82,4.75,3.79M,0.42%
9/21/2021,4.78,4.78,4.81,4.74,7.14M,-0.42%
9/20/2021,4.8,4.82,4.83,4.78,6.42M,-0.41%
9/17/2021,4.82,4.86,4.86,4.8,15.06M,0.42%
9/15/2021,4.8,4.77,4.83,4.76,24.75M,0.42%
9/14/2021,4.78,4.84,4.86,4.74,17.70M,-1.24%
9/13/2021,4.84,4.84,4.85,4.8,5.67M,-0.21%
9/10/2021,4.85,4.84,4.92,4.81,7.44M,0.41%
9/9/2021,4.83,4.95,4.95,4.78,18.08M,-2.23%
9/8/2021,4.94,4.91,4.97,4.91,9.36M,0.61%
9/7/2021,4.91,4.95,4.96,4.9,4.93M,-1.01%
9/6/2021,4.96,4.96,4.97,4.93,5.15M,0.00%
9/3/2021,4.96,4.93,4.97,4.91,10.24M,1.02%
9/2/2021,4.91,4.88,4.93,4.87,8.52M,0.41%
9/1/2021,4.89,4.99,4.99,4.88,13.38M,-0.41%
8/30/2021,4.91,4.9,4.94,4.85,16.73M,0.41%
8/27/2021,4.89,4.87,4.93,4.85,9.85M,-0.41%
8/26/2021,4.91,4.86,4.91,4.83,12.43M,1.03%
8/25/2021,4.86,4.83,4.88,4.82,12.69M,0.62%
8/24/2021,4.83,4.68,4.83,4.68,26.75M,3.21%
8/23/2021,4.68,4.65,4.69,4.64,7.70M,0.86%
8/20/2021,4.64,4.6,4.68,4.6,8.67M,0.87%
8/19/2021,4.6,4.6,4.62,4.58,1.80M,-0.22%
8/18/2021,4.61,4.6,4.63,4.58,10.42M,0.22%
8/17/2021,4.6,4.58,4.65,4.54,9.19M,2.00%
8/16/2021,4.51,4.58,4.6,4.5,15.12M,-1.96%
8/13/2021,4.6,4.59,4.6,4.56,3.41M,0.00%
8/12/2021,4.6,4.62,4.63,4.55,7.25M,0.44%
8/11/2021,4.58,4.52,4.75,4.52,16.68M,1.33%
8/9/2021,4.52,4.54,4.56,4.51,4.84M,-0.66%
8/6/2021,4.55,4.51,4.57,4.5,4.30M,0.00%
8/5/2021,4.55,4.51,4.57,4.51,5.79M,0.89%
8/4/2021,4.51,4.5,4.54,4.48,6.06M,-0.66%
8/3/2021,4.54,4.48,4.55,4.48,7.63M,1.57%
8/2/2021,4.47,4.45,4.47,4.44,8.26M,0.45%
7/30/2021,4.45,4.53,4.53,4.43,19.50M,-2.20%
7/29/2021,4.55,4.51,4.59,4.48,11.15M,0.89%
7/28/2021,4.51,4.51,4.54,4.48,5.13M,-0.44%
7/27/2021,4.53,4.5,4.57,4.49,8.01M,0.89%
7/26/2021,4.49,4.49,4.52,4.45,5.23M,-0.44%
7/23/2021,4.51,4.54,4.55,4.49,2.03M,-0.88%
7/22/2021,4.55,4.48,4.55,4.48,6.21M,1.56%
7/21/2021,4.48,4.58,4.58,4.46,6.97M,-1.75%
7/19/2021,4.56,4.52,4.59,4.5,10.25M,0.66%
7/16/2021,4.53,4.53,4.55,4.49,4.31M,-0.22%
7/15/2021,4.54,4.53,4.56,4.5,6.38M,0.22%
7/14/2021,4.53,4.5,4.54,4.46,9.98M,0.67%
7/13/2021,4.5,4.5,4.52,4.48,8.64M,-0.22%
7/12/2021,4.51,4.5,4.52,4.45,3.90M,0.45%
7/9/2021,4.49,4.42,4.51,4.41,12.69M,1.35%
7/8/2021,4.43,4.56,4.58,4.38,32.77M,-3.70%
7/7/2021,4.6,4.59,4.6,4.56,5.67M,0.22%
7/6/2021,4.59,4.6,4.63,4.58,9.17M,-0.43%
7/5/2021,4.61,4.61,4.64,4.6,4.29M,-0.65%
7/2/2021,4.64,4.63,4.65,4.62,9.71M,0.00%
7/1/2021,4.64,4.6,4.67,4.6,9.31M,0.65%
6/30/2021,4.61,4.59,4.66,4.59,10.07M,0.00%
6/29/2021,4.61,4.55,4.63,4.55,10.60M,0.00%
6/28/2021,4.61,4.65,4.66,4.58,13.23M,-1.71%
6/25/2021,4.69,4.69,4.75,4.65,16.73M,-0.21%
6/24/2021,4.7,4.59,4.71,4.58,23.85M,2.17%
6/23/2021,4.6,4.6,4.62,4.58,13.39M,0.00%
6/22/2021,4.6,4.58,4.62,4.57,7.77M,0.22%
6/21/2021,4.59,4.58,4.6,4.55,6.43M,-0.22%
6/18/2021,4.6,4.6,4.62,4.56,24.88M,-0.65%
6/17/2021,4.63,4.64,4.64,4.59,9.48M,0.00%
6/16/2021,4.63,4.62,4.68,4.6,11.14M,0.22%
6/15/2021,4.62,4.59,4.64,4.59,29.04M,0.65%
6/14/2021,4.59,4.57,4.62,4.53,9.40M,0.22%
6/11/2021,4.58,4.62,4.62,4.56,7.33M,-0.87%
6/10/2021,4.62,4.65,4.65,4.6,15.45M,-0.65%
6/9/2021,4.65,4.6,4.67,4.6,14.99M,1.09%
6/8/2021,4.6,4.47,4.67,4.46,30.59M,3.37%
6/4/2021,4.45,4.48,4.48,4.44,8.45M,-0.67%
6/3/2021,4.48,4.54,4.54,4.46,9.07M,-1.32%
6/2/2021,4.54,4.46,4.56,4.45,22.49M,2.02%
6/1/2021,4.45,4.37,4.48,4.36,23.01M,3.97%
5/31/2021,4.28,4.21,4.3,4.21,7.49M,-1.61%
5/28/2021,4.35,4.25,4.39,4.23,15.16M,3.08%
5/27/2021,4.22,4.21,4.27,4.17,43.74M,0.24%
5/25/2021,4.21,4.18,4.23,4.17,7.80M,0.24%
5/24/2021,4.2,4.15,4.2,4.13,11.82M,0.96%
5/21/2021,4.16,4.2,4.24,4.13,13.62M,-2.12%
5/20/2021,4.25,4.19,4.25,4.18,9.92M,1.19%
5/19/2021,4.2,4.28,4.29,4.2,12.84M,-2.10%
5/18/2021,4.29,4.25,4.3,4.22,10.38M,0.94%
5/17/2021,4.25,4.15,4.25,4.15,10.14M,1.67%
5/12/2021,4.18,4.1,4.18,4.09,8.82M,1.95%
5/11/2021,4.1,4.09,4.1,4.01,5.95M,-0.73%
5/10/2021,4.13,4.16,4.16,4.12,6.46M,-0.72%
5/7/2021,4.16,4.11,4.19,4.07,4.76M,1.22%
5/6/2021,4.11,4.06,4.13,4.02,5.71M,1.23%
5/5/2021,4.06,4.12,4.14,4.05,7.42M,-1.22%
5/4/2021,4.11,4.13,4.15,4.11,3.69M,-0.48%
5/3/2021,4.13,4.11,4.14,4.08,5.20M,-0.24%
4/30/2021,4.14,4.2,4.22,4.14,9.55M,-1.19%
4/28/2021,4.19,4.13,4.19,4.12,5.98M,1.45%
4/27/2021,4.13,4.17,4.17,4.1,10.05M,-0.96%
4/26/2021,4.17,4.19,4.21,4.13,15.60M,-0.48%
4/23/2021,4.19,4.24,4.24,4.18,6.81M,-1.18%
4/22/2021,4.24,4.23,4.26,4.2,5.00M,0.47%
4/21/2021,4.22,4.27,4.27,4.22,5.67M,-1.63%
4/20/2021,4.29,4.24,4.32,4.23,7.56M,1.18%
4/19/2021,4.24,4.29,4.29,4.23,5.31M,-1.17%
4/16/2021,4.29,4.3,4.33,4.27,6.13M,-0.23%
4/15/2021,4.3,4.28,4.3,4.25,4.08M,0.47%
4/14/2021,4.28,4.24,4.28,4.22,4.94M,1.18%
4/13/2021,4.23,4.26,4.29,4.22,6.38M,-0.47%
4/12/2021,4.25,4.29,4.32,4.23,10.12M,-0.93%
4/9/2021,4.29,4.27,4.33,4.27,6.15M,0.47%
4/8/2021,4.27,4.35,4.36,4.26,9.73M,-1.84%
4/7/2021,4.35,4.32,4.37,4.3,9.42M,1.16%
4/6/2021,4.3,4.37,4.38,4.28,9.97M,-1.15%
4/5/2021,4.35,4.36,4.4,4.35,4.33M,-1.36%
4/2/2021,4.41,4.38,4.42,4.34,4.83M,1.15%
